"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"6/15/2016","1465948800","81056304.40625","1488.19374889875","18.36"
"6/16/2016","1466035200","81088182.06250","1682.579777796875","20.75"
"6/17/2016","1466121600","81121598.46875","1248.4614004340625","15.39"
"6/18/2016","1466208000","81155985.65625","925.9897963378125","11.41"
"6/19/2016","1466294400","81189181.12500","1001.8744950825","12.34"
"6/20/2016","1466380800","81220895.96875","958.40657243125","11.80"
"6/21/2016","1466467200","81252884.40625","1040.8494492440625","12.81"
"6/22/2016","1466553600","81285555.03125","1067.2793375603125","13.13"
"6/23/2016","1466640000","81317403.15625","1109.9825530828125","13.65"
"6/24/2016","1466726400","81349575.03125","1159.2314441953125","14.25"
"6/25/2016","1466812800","81381260.96875","1163.752031853125","14.30"
"6/26/2016","1466899200","81413575.65625","1118.622529516875","13.74"
"6/27/2016","1466985600","81445670.50000","1136.167103475","13.95"
"6/28/2016","1467072000","81477831.90625","980.99309615125","12.04"
"6/29/2016","1467158400","81509701.90625","1050.6600575715625","12.89"
"6/30/2016","1467244800","81541688.00000","1014.37859872","12.44"
"7/1/2016","1467331200","81574306.28125","1002.5482241965625","12.29"
"7/2/2016","1467417600","81606222.84375","985.8031719525","12.08"
"7/3/2016","1467504000","81638262.53125","969.0461762459375","11.87"
"7/4/2016","1467590400","81670403.46875","929.409191474375","11.38"
"7/5/2016","1467676800","81701981.28125","846.43252607375","10.36"
"7/6/2016","1467763200","81734336.12500","858.2105293125","10.50"
"7/7/2016","1467849600","81766232.06250","820.115307586875","10.03"
"7/8/2016","1467936000","81798181.59375","918.5935792978125","11.23"
"7/9/2016","1468022400","81830979.71875","892.7759887315625","10.91"
"7/10/2016","1468108800","81862945.18750","894.761990899375","10.93"
"7/11/2016","1468195200","81894930.50000","863.991516775","10.55"
"7/12/2016","1468281600","81926691.59375","863.507329398125","10.54"
"7/13/2016","1468368000","81958850.18750","857.28957296125","10.46"
"7/14/2016","1468454400","81990660.96875","943.7125077503125","11.51"
"7/15/2016","1468540800","82022545.65625","982.630096961875","11.98"
"7/16/2016","1468627200","82054716.12500","957.57853717875","11.67"
"7/17/2016","1468713600","82086493.46875","922.65218658875","11.24"
"7/18/2016","1468800000","82118991.59375","905.7724772790625","11.03"
"7/19/2016","1468886400","82150765.50000","961.985464005","11.71"
"7/20/2016","1468972800","82182680.34375","1028.92715790375","12.52"
"7/21/2016","1469059200","82215464.09375","1035.91484758125","12.60"
"7/22/2016","1469145600","82247154.71875","1216.4354182903125","14.79"
"7/23/2016","1469232000","82279549.71875","1177.4203564753125","14.31"
"7/24/2016","1469318400","82311025.96875","1042.057588764375","12.66"
"7/25/2016","1469404800","82343017.53125","1134.686781580625","13.78"
"7/26/2016","1469491200","82373795.03125","995.8991819278125","12.09"
"7/27/2016","1469577600","82406732.84375","1077.0559982678125","13.07"
"7/28/2016","1469664000","82439087.06250","1060.16665962375","12.86"
"7/29/2016","1469750400","82471026.43750","1061.402110250625","12.87"
"7/30/2016","1469836800","82502668.15625","1032.93340531625","12.52"
"7/31/2016","1469923200","82534887.68750","981.339814604375","11.89"
"8/1/2016","1470009600","82566482.06250","914.8366212525","11.08"
"8/2/2016","1470096000","82597837.21875","685.562048915625","8.30"
"8/3/2016","1470182400","82629544.87500","857.6946758025","10.38"
"8/4/2016","1470268800","82662397.68750","926.645478076875","11.21"
"8/5/2016","1470355200","82694629.71875","912.948712095","11.04"
"8/6/2016","1470441600","82726219.56250","905.02484201375","10.94"
"8/7/2016","1470528000","82758510.65625","909.5160321121875","10.99"
"8/8/2016","1470614400","82790686.59375","934.7068516434375","11.29"
"8/9/2016","1470700800","82823353.00000","1014.58607425","12.25"
"8/10/2016","1470787200","82855515.96875","1010.0087396590625","12.19"
"8/11/2016","1470873600","82887720.81250","966.47082467375","11.66"
"8/12/2016","1470960000","82919824.09375","973.478734860625","11.74"
"8/13/2016","1471046400","82951823.00000","958.92307388","11.56"
"8/14/2016","1471132800","82983791.90625","927.758793511875","11.18"
"8/15/2016","1471219200","83016120.81250","925.629747059375","11.15"
"8/16/2016","1471305600","83048158.00000","925.15648012","11.14"
"8/17/2016","1471392000","83080152.53125","893.1116397109375","10.75"
"8/18/2016","1471478400","83112941.59375","891.8018633009375","10.73"
"8/19/2016","1471564800","83144783.00000","890.48062593","10.71"
"8/20/2016","1471651200","83177018.62500","937.40499990375","11.27"
"8/21/2016","1471737600","83209710.96875","926.956180191875","11.14"
"8/22/2016","1471824000","83242003.78125","923.1538219340625","11.09"
"8/23/2016","1471910400","83274187.68750","916.0160645625","11.00"
"8/24/2016","1471996800","83306461.12500","916.371072375","11.00"
"8/25/2016","1472083200","83338596.75000","946.72645908","11.36"
"8/26/2016","1472169600","83370468.15625","938.751471439375","11.26"
"8/27/2016","1472256000","83402774.56250","933.277047354375","11.19"
"8/28/2016","1472342400","83434802.53125","915.2797837678125","10.97"
"8/29/2016","1472428800","83466728.93750","913.960681865625","10.95"
"8/30/2016","1472515200","83498603.78125","937.6893204634375","11.23"
"8/31/2016","1472601600","83530738.31250","968.121257041875","11.59"
"9/1/2016","1472688000","83562483.00000","1020.29791743","12.21"
"9/2/2016","1472774400","83594867.06250","1010.661942785625","12.09"
"9/3/2016","1472860800","83626363.00000","995.98998333","11.91"
"9/4/2016","1472947200","83658227.06250","980.4744211725","11.72"
"9/5/2016","1473033600","83690416.75000","987.54691765","11.80"
"9/6/2016","1473120000","83722098.15625","981.22299039125","11.72"
"9/7/2016","1473206400","83754365.96875","971.5506452375","11.60"
"9/8/2016","1473292800","83786274.56250","956.001392758125","11.41"
"9/9/2016","1473379200","83818491.43750","980.67634981875","11.70"
"9/10/2016","1473465600","83850322.06250","1012.911890515","12.08"
"9/11/2016","1473552000","83882675.03125","977.2331641140625","11.65"
"9/12/2016","1473638400","83914912.06250","1001.104900905625","11.93"
"9/13/2016","1473724800","83946816.90625","1005.682866536875","11.98"
"9/14/2016","1473811200","83979345.65625","1001.8735936790625","11.93"
"9/15/2016","1473897600","84011528.46875","1007.2982263403125","11.99"
"9/16/2016","1473984000","84043767.53125","1062.313221595","12.64"
"9/17/2016","1474070400","84075922.53125","1077.853326850625","12.82"
"9/18/2016","1474156800","84105496.43750","1037.020771074375","12.33"
"9/19/2016","1474243200","84139773.31250","1087.0858711975","12.92"
"9/20/2016","1474329600","84172265.81250","1230.59852617875","14.62"
"9/21/2016","1474416000","84204349.56250","1156.125719493125","13.73"
"9/22/2016","1474502400","84235955.18750","1106.018091611875","13.13"
"9/23/2016","1474588800","84270235.18750","1125.007639753125","13.35"
"9/24/2016","1474675200","84303560.03125","1087.515924403125","12.90"
"9/25/2016","1474761600","84337950.50000","1100.610254025","13.05"
"9/26/2016","1474848000","84370081.28125","1090.9051509665625","12.93"
"9/27/2016","1474934400","84405365.65625","1104.02218278375","13.08"
"9/28/2016","1475020800","84437769.09375","1123.022328946875","13.30"
"9/29/2016","1475107200","84470082.53125","1109.936884460625","13.14"
"9/30/2016","1475193600","84501705.81250","1120.49261907375","13.26"
"10/1/2016","1475280000","84536184.40625","1118.4137196946875","13.23"
"10/2/2016","1475366400","84571945.18750","1118.04111537875","13.22"
"10/3/2016","1475452800","84605219.71875","1137.9402052171875","13.45"
"10/4/2016","1475539200","84637271.12500","1126.52207867375","13.31"
"10/5/2016","1475625600","84670352.68750","1108.334916679375","13.09"
"10/6/2016","1475712000","84703194.56250","1089.28308207375","12.86"
"10/7/2016","1475798400","84739746.43750","1074.4999848275","12.68"
"10/8/2016","1475884800","84775841.12500","1038.50405378125","12.25"
"10/9/2016","1475971200","84809266.75000","1021.9516643375","12.05"
"10/10/2016","1476057600","84842397.68750","996.04974885125","11.74"
"10/11/2016","1476144000","84874877.21875","998.1285560925","11.76"
"10/12/2016","1476230400","84907969.87500","996.8195663325","11.74"
"10/13/2016","1476316800","84942796.12500","1021.86183738375","12.03"
"10/14/2016","1476403200","84975709.87500","1011.2109475125","11.90"
"10/15/2016","1476489600","85007917.06250","1017.544767238125","11.97"
"10/16/2016","1476576000","85040847.37500","1015.3877176575","11.94"
"10/17/2016","1476662400","85073225.18750","1019.17723774625","11.98"
"10/18/2016","1476748800","85106545.50000","1065.53394966","12.52"
"10/19/2016","1476835200","85139695.18750","1019.97354834625","11.98"
"10/20/2016","1476921600","85174224.25000","1027.201144455","12.06"
"10/21/2016","1477008000","85206351.12500","1028.44065807875","12.07"
"10/22/2016","1477094400","85238053.78125","1031.380450753125","12.10"
"10/23/2016","1477180800","85269385.65625","1021.527240161875","11.98"
"10/24/2016","1477267200","85301447.53125","1018.499283523125","11.94"
"10/25/2016","1477353600","85333112.06250","970.237484150625","11.37"
"10/26/2016","1477440000","85365068.93750","981.69829278125","11.50"
"10/27/2016","1477526400","85396513.93750","979.498014863125","11.47"
"10/28/2016","1477612800","85427593.00000","949.10055823","11.11"
"10/29/2016","1477699200","85457222.53125","887.045969874375","10.38"
"10/30/2016","1477785600","85489183.00000","960.89841692","11.24"
"10/31/2016","1477872000","85521204.25000","934.7467624525","10.93"
"11/1/2016","1477958400","85551702.68750","921.391837944375","10.77"
"11/2/2016","1478044800","85582844.71875","926.8622083040625","10.83"
"11/3/2016","1478131200","85614060.65625","929.768698726875","10.86"
"11/4/2016","1478217600","85644984.25000","954.9415743875","11.15"
"11/5/2016","1478304000","85676408.78125","953.5784297353125","11.13"
"11/6/2016","1478390400","85708208.93750","939.361969955","10.96"
"11/7/2016","1478476800","85741468.00000","934.5820012","10.90"
"11/8/2016","1478563200","85773795.18750","932.361153688125","10.87"
"11/9/2016","1478649600","85804797.53125","914.679141683125","10.66"
"11/10/2016","1478736000","85836008.31250","902.9948074475","10.52"
"11/11/2016","1478822400","85867347.68750","883.575007704375","10.29"
"11/12/2016","1478908800","85899297.68750","857.27499092125","9.98"
"11/13/2016","1478995200","85931721.90625","869.62902569125","10.12"
"11/14/2016","1479081600","85963606.12500","859.63606125","10.00"
"11/15/2016","1479168000","85995043.15625","879.7292914884375","10.23"
"11/16/2016","1479254400","86026624.56250","861.126511870625","10.01"
"11/17/2016","1479340800","86057433.15625","857.13203423625","9.96"
"11/18/2016","1479427200","86090533.93750","820.442788424375","9.53"
"11/19/2016","1479513600","86122865.03125","833.6693335025","9.68"
"11/20/2016","1479600000","86155325.18750","825.36801529625","9.58"
"11/21/2016","1479686400","86187136.75000","823.94902733","9.56"
"11/22/2016","1479772800","86218314.25000","847.5260290775","9.83"
