/*risultati da verificare*/

year(t.timestamp),month(t.timestamp),day(t.timestamp),"count(distinct i.id)/count(distinct t.txid)","count(distinct o.id)/count(distinct t.txid)"
2015,4,27,1.0000,1.0000
2015,4,28,1.0000,1.0000
2015,4,29,1.0000,1.0000
2015,4,30,1.0000,1.0000
2015,5,1,1.0000,1.0000
2015,5,2,1.0000,1.0000
2015,5,3,1.0000,1.0000
2015,5,4,1.0000,1.0000
2015,5,5,1.0000,1.0000
2015,5,6,1.0000,1.0000
2015,5,7,1.0000,1.0000
2015,5,8,1.0000,1.0000
2015,5,9,1.0000,1.0000
2015,5,10,1.0000,1.0000
2015,5,11,1.0000,1.0000
2015,5,12,1.0000,1.0000
2015,5,13,1.0000,1.0000
2015,5,14,1.0000,1.0000
2015,5,15,1.0000,1.0000
2015,5,16,1.0000,1.0000
2015,5,17,1.0000,1.0000
2015,5,18,1.0000,1.0000
2015,5,19,1.0000,1.0000
2015,5,20,1.0000,1.0000
2015,5,21,1.0000,1.0000
2015,5,22,1.0000,1.0000
2015,5,23,1.0000,1.0000
2015,5,24,1.0000,1.0000
2015,5,25,1.0000,1.0000
2015,5,26,1.0000,1.0000
2015,5,27,1.0000,1.0000
2015,5,28,1.0000,1.0000
2015,5,29,1.0000,1.0000
2015,5,30,1.0000,1.0000
2015,5,31,1.0000,1.0000
2015,6,1,1.0000,1.0000
2015,6,2,1.0000,1.0000
2015,6,3,1.0000,1.0000
2015,6,4,1.0000,1.0000
2015,6,5,1.0000,1.0000
2015,6,6,1.0000,1.0000
2015,6,7,1.0000,1.0000
2015,6,8,1.0000,1.0000
2015,6,9,1.0000,1.0000
2015,6,10,1.0000,1.0000
2015,6,11,1.0000,1.0000
2015,6,12,1.0000,1.0000
2015,6,13,1.0000,1.0000
2015,6,14,1.0000,1.0000
2015,6,15,1.0000,1.0000
2015,6,16,1.0000,1.0000
2015,6,17,1.0000,1.0000
2015,6,18,1.0000,1.0000
2015,6,19,1.0000,1.0000
2015,6,20,1.0000,1.0000
2015,6,21,1.0000,1.0000
2015,6,22,1.0000,1.0000
2015,6,23,1.0000,1.0000
2015,6,24,1.0000,1.0000
2015,6,25,1.0000,1.0000
2015,6,26,1.0000,1.0000
2015,6,27,1.0000,1.0000
2015,6,28,1.0000,1.0000
2015,6,29,1.0000,1.0000
2015,6,30,1.0000,1.0000
2015,7,1,1.0000,1.0000
2015,7,2,1.0000,1.0000
2015,7,3,1.0000,1.0000
2015,7,4,1.0000,1.0000
2015,7,5,1.0000,1.0000
2015,7,6,1.0000,1.0000
2015,7,7,1.0000,1.0000
2015,7,8,1.0000,1.0000
2015,7,9,1.0000,1.0000
2015,7,10,1.0000,1.0000
2015,7,11,1.0000,1.0000
2015,7,12,1.0000,1.0000
2015,7,13,1.0000,1.0000
2015,7,14,1.0000,1.0000
2015,7,15,1.0000,1.0000
2015,7,16,1.0000,1.0000
2015,7,17,1.0000,1.0000
2015,7,18,1.0000,1.0000
2015,7,19,1.0000,1.0000
2015,7,20,1.0000,1.0000
2015,7,21,1.0000,1.0000
2015,7,22,1.0000,1.0000
